Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1u,C_0402_1005Metric,192.25,-74.422,0,top
C2,0.1n,C_0402_1005Metric,188.976,-82.55,0,top
C3,1n,C_0402_1005Metric,188.976,-83.82,0,top
C4,1u,C_0402_1005Metric,188.976,-85.09,0,top
C5,330p,C_0402_1005Metric,190.5,-73.419,90,top
C6,330p,C_0402_1005Metric,189.23,-73.434,90,top
C7,330p,C_0402_1005Metric,187.96,-73.406,90,top
C8,330p,C_0402_1005Metric,186.69,-73.393,90,top
C9,330p,C_0402_1005Metric,185.661,-75.692,180,top
C10,330p,C_0402_1005Metric,185.661,-77.216,180,top
C11,1n,C_0402_1005Metric,192.786,-90.932,270,top
C12,0.1u,C_0402_1005Metric,182.372,-78.232,0,top
C13,2.2u,C_0402_1005Metric,202.692,-90.945,270,top
C14,1n,C_0402_1005Metric,200.914,-90.945,270,top
C15,0.1n,C_0402_1005Metric,199.136,-90.932,270,top
C16,0.1u,C_0402_1005Metric,202.466,-78.232,180,top
C17,1u,C_0402_1005Metric,184.645,-132.08,180,top
C18,10n,C_0402_1005Metric,215.265,-117.475,90,top
C19,1u,C_0402_1005Metric,178.308,-122.415,270,top
C20,10n,C_0402_1005Metric,200.66,-117.475,270,top
C21,10n,C_0402_1005Metric,207.01,-117.475,270,top
C22,0.1u,C_0402_1005Metric,173.99,-109.982,180,top
C23,0.1u,C_0402_1005Metric,169.405,-97.79,0,top
C24,0.1u,C_0402_1005Metric,165.1,-102.108,90,top
C25,0.1u,C_0402_1005Metric,165.1,-104.902,90,top
C26,1u,C_0402_1005Metric,189.725,-133.35,0,top
C27,1u,C_0402_1005Metric,193.815,-133.35,180,top
C28,0.1u,C_0402_1005Metric,175.768,-99.06,0,top
FB1,GZ2012D601TF,L_0805_2012Metric,187.706,-87.122,180,top
FB2,GZ2012D601TF,L_0805_2012Metric,187.833,-90.297,180,top
J2,Input,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount_withSTEP,175.968,-78.232,270,top
J3,Output,SMA_Samtec_SMA-J-P-X-ST-EM1_EdgeMount_withSTEP,206.248,-78.232,90,top
Q1,2N7002,SOT-23,202.692,-113.284,270,top
Q2,2N7002,SOT-23,198.628,-113.284,270,top
Q3,2N7002,SOT-23,194.564,-113.284,270,top
Q4,2N7002,SOT-23,190.5,-113.284,270,top
R1,1.8,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,195.7484,-90.8558,180,top
R2,10k,R_0402_1005Metric,213.995,-117.475,90,top
R3,10k,R_0402_1005Metric,205.746,-117.495,270,top
R4,10k,R_0402_1005Metric,201.924,-117.495,270,top
R5,82,R_0402_1005Metric,206.248,-95.504,270,top
R6,82,R_0402_1005Metric,198.345775,-95.504,270,top
R7,10k,R_0402_1005Metric,204.472,-117.495,90,top
R8,82,R_0402_1005Metric,204.27244,-95.504,270,top
R9,10k,R_0402_1005Metric,203.198,-117.495,90,top
R10,82,R_0402_1005Metric,190.443555,-95.504,270,top
R12,82,R_0402_1005Metric,202.296885,-95.504,270,top
R14,82,R_0402_1005Metric,200.32133,-95.504,270,top
R15,82,R_0402_1005Metric,192.41911,-95.504,270,top
R16,82,R_0402_1005Metric,196.37022,-95.504,270,top
R17,82,R_0402_1005Metric,188.468,-95.504,270,top
R18,82,R_0402_1005Metric,194.394665,-95.504,270,top
U1,HMC625B,QFN-32-1EP_5x5mm_P0.5mm_EP3.45x3.45mm_ThermalVias,190.5,-78.486,270,top
U2,LM1117-3.3,SOT-223-3_TabPin2,182.88,-126.34,270,top
U3,STM32L010C6,LQFP-48_7x7mm_P0.5mm,171.196,-103.886,0,top
U4,LM78M05_TO252,TO-252-2,191.77,-127,90,top
SW1,Alps_EC11E,Alps_EC11E,201.295,-124.46,0,top
