STM32L010C6,,,
Pin,Name,type,side
1,PC0,bidirectional,top
2,PC13,bidirectional,top
3,PC14-OSC32_IN,bidirectional,top
4,PC15-OSC32_OUT,bidirectional,top
5,PH0-OSC_IN,bidirectional,top
6,PH1-OSC_OUT,bidirectional,top
7,NRST,bidirectional,top
8,VSSA,power,bottom
9,VDDA,power,top
23,VSS,power,bottom
24,VDD,power,top
35,VSS,power,bottom
36,VDD,power,top
44,BOOT0,input,top
47,VSS,power,bottom
48,VDD,power,top
10,PA0,bidirectional,left
11,PA1,bidirectional,left
12,PA2,bidirectional,left
13,PA3,bidirectional,left
14,PA4,bidirectional,left
15,PA5,bidirectional,left
16,PA6,bidirectional,left
17,PA7,bidirectional,left
29,PA8,bidirectional,left
30,PA9,bidirectional,left
31,PA10,bidirectional,left
32,PA11,bidirectional,left
33,PA12,bidirectional,left
34,PA13,bidirectional,left
37,PA14,bidirectional,left
38,PA15,bidirectional,left
18,PB0,bidirectional,right
19,PB1,bidirectional,right
20,PB2,bidirectional,right
39,PB3,bidirectional,right
40,PB4,bidirectional,right
41,PB5,bidirectional,right
42,PB6,bidirectional,right
43,PB7,bidirectional,right
45,PB8,bidirectional,right
46,PB9,bidirectional,right
21,PB10,bidirectional,right
22,PB11,bidirectional,right
25,PB12,bidirectional,right
26,PB13,bidirectional,right
27,PB14,bidirectional,right
28,PB15,bidirectional,right
