HMC625B,,,
Pin,Type,Name,Side
1,input,AMPIN,left
29,output,AMPOUT,right
2,power,GND,bottom
3,power,GND,bottom
13,power,GND,bottom
28,power,GND,bottom
30,power,GND,bottom
31,power,GND,bottom
32,power,GND,bottom
4,input,ATTOUT,left
12,output,ATTIN,right
5,input,AGC1,bottom
6,input,AGC2,bottom
7,input,AGC3,bottom
8,input,AGC4,bottom
9,input,AGC5,bottom
10,input,AGC6,bottom
11,input,GND,bottom
14,output,SEROUT,right
15,input,PUP2,left
16,input,PUP1,left
18,input,D5,left
19,input,D4,left
20,input,D3,left
21,input,D2,left
22,input,D1,left
23,input,D0,left
24,input,P/S,left
25,input,CLK,left
26,input,SERIN,left
27,input,LE,left
17,power,VDD,top
